Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
10/01/2022,169000.0,66.0,RUE,0657,BAYARD,59000.0,LILLE,59,350,"73,90",3.0,
14/01/2022,125000.0,18.0,RUE,0500,GAMBETTA,59490.0,SOMAIN,59,574,,2.0,93.0
14/01/2022,125000.0,18.0,RUE,0500,GAMBETTA,59490.0,SOMAIN,59,574,,2.0,93.0
14/01/2022,125000.0,18.0,RUE,0500,GAMBETTA,59490.0,SOMAIN,59,574,,2.0,93.0
06/01/2022,112000.0,2.0,RUE,4992,JEANNE D ARC,59000.0,LILLE,59,350,"28,36",1.0,
12/01/2022,260000.0,21.0,RUE,6655,PAUL BERT,59800.0,LILLE,59,350,,1.0,50.0
12/01/2022,260000.0,21.0,RUE,6655,PAUL BERT,59800.0,LILLE,59,350,,1.0,50.0
12/01/2022,260000.0,21.0,RUE,6655,PAUL BERT,59800.0,LILLE,59,350,,1.0,50.0
14/01/2022,150000.0,263.0,RUE,0780,DE LILLE,59130.0,LAMBERSART,59,328,"58,83",3.0,
17/01/2022,141500.0,22.0,RUE,0870,DE LA PAIX,59250.0,HALLUIN,59,279,,5.0,
12/01/2022,76000.0,1.0,RUE,3250,LAMARTINE,59200.0,TOURCOING,59,599,"51,20",3.0,
12/01/2022,147000.0,66.0,RUE,0657,BAYARD,59000.0,LILLE,59,350,"63,30",3.0,
14/01/2022,133000.0,3.0,RUE,7779,SAINT GENOIS,59800.0,LILLE,59,350,"23,52",1.0,
12/01/2022,120000.0,66.0,RUE,0657,BAYARD,59000.0,LILLE,59,350,"43,50",2.0,
14/01/2022,618000.0,126.0,RUE,0270,DU DOCTEUR CALMETTE,59120.0,LOOS,59,360,,4.0,
06/01/2022,173000.0,35.0,RUE,1240,JULES GUESDE,59700.0,MARCQ EN BAROEUL,59,378,"66,40",3.0,
14/01/2022,191000.0,152.0,GR,2380,GRANDE RUE,59100.0,ROUBAIX,59,512,"90,15",3.0,
18/01/2022,173000.0,125.0,RUE,0010,DE L ABBE BONPAIN,59700.0,MARCQ EN BAROEUL,59,378,"64,34",3.0,
17/01/2022,119000.0,15.0,PL,1190,CHARLES ET ALBERT ROUSSEL,59200.0,TOURCOING,59,599,,3.0,
04/01/2022,243773.0,41.0,RUE,1575,MONTGOLFIER,59700.0,MARCQ EN BAROEUL,59,378,,3.0,
